,min_timestamp,max_timestamp,med_timestamp,mean_timestamp,min_gas,max_gas,med_gas,mean_gas,out_count,min_outgoing_priceETH,max_outgoing_priceETH,med_outgoing_priceETH,mean_outgoing_priceETH,in_count,min_incoming_priceETH,max_incoming_priceETH,med_incoming_priceETH,mean_incoming_priceETH,address,label
114064,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xfd6866214582e58ae146f0c2603ffe7cd5fda611,None
105929,,,,,,,,,,,,,,5.0,1.000000045813705e-18,2.00000009162741e-18,1.000000045813705e-18,1.2000001170149919e-18,0xca21a97716c40035c4c64dff47799e48a6eddfe6,None
104452,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xc07e65b5b66dacb79c36d4a0fb5c202fe1b03801,None
106619,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xce68c8f8db5806bc7d1a71dfddf62fcdf8c8d703,None
23605,1.648821301e+18,1.649543352e+18,1.649026827e+18,1.6491304933333332e+18,184304.0,201404.0,199715.0,195141.0,3.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x526dd3283566eecf771d83725afbbaa523e036fc,None
35688,1.649425417e+18,1.649427985e+18,1.649426701e+18,1.649426701e+18,194259.0,199054.0,196656.5,196656.5,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x7cb6c99bfe19aa00053e36d5f4d33749254630e8,None
82075,,,,,,,,,,,,,,4.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x33dae39d6d4ae0451806b3e789d94d40f54adba0,None
32796,1.648724328e+18,1.648724328e+18,1.648724328e+18,1.648724328e+18,201774.0,201774.0,201774.0,201774.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x72b27c32792239228e3693ce31fe310888a09779,None
21695,1.649309808e+18,1.649309808e+18,1.649309808e+18,1.649309808e+18,201474.0,201474.0,201474.0,201474.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x4bc46d81180d650b2f153f9cbae7278bf0f1f05e,None
3474,1.648437013e+18,1.648864599e+18,1.6485824115e+18,1.648623226545454e+18,228609.0,1150413.0,228674.0,647627.75,22.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x0c0f28f353bad7e7c7926dc87653305b087d3033,None
32751,1.649221587e+18,1.649221587e+18,1.649221587e+18,1.649221587e+18,52085.0,52085.0,52085.0,52085.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x7283aa0df5f4a8d67596bd07eb147eb3cfd14527,None
111251,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xeaf1a69aa181b430584ce8549b7cee7138e929a1,None
37134,1.648430694e+18,1.648430825e+18,1.6484307595e+18,1.6484307595e+18,52498.0,53667.0,53082.5,53082.5,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x81e1561b4c20480009a98f63979ed10bb3ead1ce,None
73377,1.648805413e+18,1.648805413e+18,1.648805413e+18,1.648805413e+18,187452.0,187452.0,187452.0,187452.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xfefdab63e44aacfb5fff67de90b8106b0b5c4765,None
58912,1.648869945e+18,1.64910963e+18,1.6489897875e+18,1.6489897875e+18,195025.0,197042.0,196033.5,196033.5,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xccc8ab0207c2c74a16b48163fe167225aad327de,None
53749,1.649562438e+18,1.649562438e+18,1.649562438e+18,1.649562438e+18,199105.0,199105.0,199105.0,199105.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xbb1b04535b3c77f18af07ebb7c94e88d638ce84c,None
22079,1.649534323e+18,1.649555901e+18,1.649545112e+18,1.649545112e+18,199093.0,199117.0,199105.0,199105.0,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x4d24198580c4c70fae0906702895a4df506c35e2,None
62570,1.648447623e+18,1.648448934e+18,1.648448815e+18,1.6484484573333332e+18,51867.0,52073.0,52061.0,52000.33203125,3.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,3.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xd934355fb6e743d07688b7711c9ffb55b9657b55,None
114144,,,,,,,,,,,,,,4.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xfdf0b1e0b8a296016335043aa6a5b5b5b4716fff,None
79732,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x259542af9d054bb7840f99277aa44bdba22ad942,None
104329,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xbfa53193c22b4e66ee40f9188c3535eb669a717e,None
